"GridSeen","GridDone","Generation","PartID","PrevPartID","TrialNb","DateTime","ChainNb","TetrominoDone","BinTetroDone","TopBottomDone","RightLeftDone","TetrominoSeen","BinTetroSeen","TopBottomSeen","RightLeftSeen","Score","Symmetry","SymmetryBin","TrialName"
1158,1678,1,"A_01","A_seed",1,"Wed Jul 11 15:18:44 2018",1,"S shape",1,"Und","Right","None",0,"Und","Und",1,"None",0,1
1274,1624,1,"A_01","A_seed",2,"Wed Jul 11 15:18:51 2018",1,"Square",1,"Und","Right","None",0,"Und","Und",1,"None",0,2
1467,841,1,"A_01","A_seed",3,"Wed Jul 11 15:18:58 2018",1,"Square",1,"Top","Right","None",0,"Und","Und",1,"None",0,3
207,479,1,"A_01","A_seed",4,"Wed Jul 11 15:19:05 2018",1,"Square",1,"Top","Und","None",0,"Und","Und",1,"None",0,4
1633,9,1,"A_01","A_seed",5,"Wed Jul 11 15:19:16 2018",1,"None",0,"Und","Und","None",0,"Und","Und",1,"None",0,5
615,1811,1,"A_01","A_seed",6,"Wed Jul 11 15:19:23 2018",1,"Square",1,"Bottom","Right","None",0,"Und","Und",1,"None",0,6
1259,1010,1,"A_01","A_seed",7,"Wed Jul 11 15:19:29 2018",1,"Line",1,"Und","Right","None",0,"Und","Right",0,"None",0,7
1760,266,1,"A_01","A_seed",8,"Wed Jul 11 15:19:37 2018",1,"Line",1,"Und","Left","Square",1,"Bottom","Left",0,"None",0,8
1769,682,1,"A_01","A_seed",9,"Wed Jul 11 15:19:45 2018",1,"Line",1,"Und","Left","None",0,"Bottom","Und",1,"None",0,9
800,1326,1,"A_01","A_seed",10,"Wed Jul 11 15:19:54 2018",1,"Line",1,"Top","Und","None",0,"Und","Und",1,"None",0,10
1157,682,1,"A_01","A_seed",11,"Wed Jul 11 15:20:01 2018",1,"Line",1,"Und","Left","None",0,"Und","Und",1,"None",0,11
624,1001,1,"A_01","A_seed",12,"Wed Jul 11 15:20:11 2018",1,"L shape",1,"Und","Und","None",0,"Und","Und",1,"None",0,12
1542,1778,1,"A_01","A_seed",13,"Wed Jul 11 15:20:18 2018",1,"None",0,"Bottom","Und","None",0,"Und","Und",1,"None",0,13
893,1734,1,"A_01","A_seed",14,"Wed Jul 11 15:20:25 2018",1,"T shape",1,"Und","Right","None",0,"Und","Und",1,"None",0,14
1247,1678,1,"A_01","A_seed",15,"Wed Jul 11 15:20:33 2018",1,"S shape",1,"Und","Right","None",0,"Und","Und",1,"None",0,15
1688,459,1,"A_01","A_seed",16,"Wed Jul 11 15:20:41 2018",1,"L shape",1,"Top","Und","None",0,"Und","Und",1,"None",0,16
465,1632,1,"A_01","A_seed",17,"Wed Jul 11 15:20:48 2018",1,"L shape",1,"Und","Right","None",0,"Und","Und",1,"None",0,17
1297,1010,1,"A_01","A_seed",18,"Wed Jul 11 15:20:55 2018",1,"Line",1,"Und","Right","None",0,"Und","Und",1,"None",0,18
433,1701,1,"A_01","A_seed",19,"Wed Jul 11 15:21:02 2018",1,"None",0,"Und","Und","None",0,"Und","Und",1,"None",0,19
1112,1624,1,"A_01","A_seed",20,"Wed Jul 11 15:21:10 2018",1,"Square",1,"Und","Right","None",0,"Und","Und",1,"None",0,20
9,1343,2,"A_02","A_01",7,"Wed Jul 11 16:08:46 2018",1,"Square",1,"Und","Left","None",0,"Und","Und",1,"None",0,5
266,682,2,"A_02","A_01",4,"Wed Jul 11 16:08:27 2018",1,"Line",1,"Und","Left","Line",1,"Und","Left",1,"None",0,8
459,266,2,"A_02","A_01",6,"Wed Jul 11 16:08:39 2018",1,"Line",1,"Und","Left","L shape",1,"Top","Und",1,"None",0,16
479,266,2,"A_02","A_01",3,"Wed Jul 11 16:08:21 2018",1,"Line",1,"Und","Left","Square",1,"Top","Und",1,"None",0,4
682,1010,2,"A_02","A_01",18,"Wed Jul 11 16:09:59 2018",1,"Line",1,"Und","Right","Line",1,"Und","Left",1,"Vert",1,11
682,1010,2,"A_02","A_01",2,"Wed Jul 11 16:08:14 2018",1,"Line",1,"Und","Right","Line",1,"Und","Left",1,"Vert",1,9
